FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2003,2004,2005,2008,2010,2012,2014,2016,2018,2020,2022,2024
A,Annual,ERI,Eritrea,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.00695,0.00775,0.00686,0.00904,0.0113,0.0132,0.0,0.0,0.0,0.0,0.0837,0.14054
A,Annual,ESP,Spain,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.40913,0.39327,0.39192,0.48336,0.51,0.63179,0.66288,0.64926,0.6986,0.8531,0.8895,0.96031
A,Annual,EST,Estonia,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.49849,0.44983,0.52805,0.59577,0.62729,0.66421,0.79337,0.73295,0.7613,0.9212,0.8949,0.97309
A,Annual,ETH,Ethiopia,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.00264,0.00238,0.00268,0.00402,0.00731,0.0093,0.02659,0.0495,0.0976,0.1194,0.1501,0.26592
A,Annual,FIN,Finland,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.69075,0.67473,0.65241,0.62456,0.62399,0.7225,0.8594,0.75903,0.7284,0.9101,0.9127,0.97909
A,Annual,FJI,Fiji,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.07391,0.08131,0.08363,0.09822,0.13961,0.2434,0.28719,0.33262,0.3562,0.6468,0.5935,0.75067
A,Annual,FRA,France,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.52898,0.50546,0.50601,0.59921,0.59539,0.79024,0.80029,0.75021,0.7979,0.8719,0.8944,0.92281
A,Annual,FSM,"Micronesia, Fed. Sts.",UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.03955,0.04025,0.05191,0.08405,0.08111,0.10126,0.10985,0.11971,0.1118,0.1061,0.1102,0.13502
A,Annual,GAB,Gabon,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.07685,0.07335,0.06622,0.09734,0.11101,0.15952,0.22601,0.30676,0.425,0.625,0.6279,0.8263
A,Annual,GBR,United Kingdom,UN_EGDI_TTI,Telecommunications Infrastructure Index (EGDI),SCORE,Score,UN_EGDI,E-Government Development Index (EGDI),0,Units,A,Normal value,PU,Public,0.67481,0.69267,0.64705,0.70222,0.71637,0.81351,0.8534,0.81766,0.8004,0.9195,0.9186,0.97467
